RU000A1010X1,ИКС 5 ФИНАНС 001P-07,ИКС5Фин1P7,X5 FINANSE 001P-07,1000.0,SUR,2019-11-12,RU000A1010X1,5000000,stock_bonds,2034-10-24,33.16,,exchange_bond
XS1693971043,Sibur Securities D.A.C. 23,SIB-23,Sibur Securities D.A.C. 23,1000.0,USD,2017-09-28,XS1693971043,500000,stock_bonds,2023-10-05,20.625,,corporate_bond
RU000A0JXZB2,"""Российские ЖД"" БО-001P-04R",РЖД Б01P4R,RZhD BO-001P-04R,1000.0,SUR,2017-08-17,RU000A0JXZB2,15000000,stock_bonds,2032-07-29,41.14,,exchange_bond
XS2230649225,Borets Finance DAC 17/09/26,BRTS-26,Borets Finance DAC 17/09/26,1000.0,USD,2020-09-17,XS2230649225,350000,stock_bonds,2026-09-17,30.0,,corporate_bond
RU000A102036,Новосибирскхлебопродукт БО-П01,НХП БО-П01,Novosibirskbreadproduct BO-P01,10000.0,SUR,2020-08-06,RU000A102036,7000,stock_bonds,2024-07-16,98.63,,exchange_bond
RU000A1023Z9,СберИОС 001Р-319R 5Г МГТРД ИНД,СберИОС319,SberIOS 001P-319R 5Y MGTRD IND,1000.0,SUR,2020-09-29,RU000A1023Z9,1627683,stock_bonds,2025-10-06,0.5,,exchange_bond
RU000A0JV1X3,ПАО НК Роснефть БО-03,РоснфтБО3,Rosneft  BO-03,1000.0,SUR,2014-12-11,RU000A0JV1X3,15000000,stock_bonds,2024-11-28,46.87,,exchange_bond
RU000A0JUQ96,ТрансФин-М ПАО БО-29,ТрансФБО29,TransFin-M BO-29,1000.0,SUR,2014-06-30,RU000A0JUQ96,6,stock_bonds,2024-06-17,37.4,,exchange_bond
RU000A100P85,ЕвразХолдинг Финанс 002P-01R,ЕврХол2P1R,EvrazHolding Finance 002P-01R,1000.0,SUR,2019-08-05,RU000A100P85,20000000,stock_bonds,2024-07-29,39.64,,exchange_bond
RU000A0JW0S4,"АО ""ПКТ"" обл. 01",ПКТ 01,FCT 01,1000.0,SUR,2015-12-22,RU000A0JW0S4,5000000,stock_bonds,2025-12-09,24.93,,corporate_bond
CH0248531110,VTB CAPITAL S.A. 24 CHF,VTB-24 CHF,VTB CAPITAL S.A. 24 CHF,5000.0,CHF,2014-07-24,CH0248531110,70000,stock_bonds,2024-10-24,0.0,,corporate_bond
RU000A0JXQQ9,ООО АРАГОН об.,АРАГОН об,ARAGON ob.,1000.0,SUR,2017-05-10,RU000A0JXQQ9,1000000,stock_bonds,2022-05-04,19.95,,corporate_bond
RU000A0JWRV9,Мобильные ТелеСистемы ПАО БО-2,МТС БО-02,MTS BO-02,1000.0,SUR,2016-09-02,RU000A0JWRV9,10000000,stock_bonds,2031-08-15,31.16,,exchange_bond
SU26226RMFS9,ОФЗ-ПД 26226 07/10/26,ОФЗ 26226,OFZ-PD 26226,1000.0,SUR,2018-12-19,RU000A0ZZYW2,350000000,stock_bonds,2026-10-07,39.64,,ofz_bond
SU29016RMFS1,ОФЗ-ПК 29016 23/12/2026,ОФЗ 29016,OFZ-PD 29016,1000.0,SUR,2020-09-23,RU000A1025B5,450000000,stock_bonds,2026-12-23,,,ofz_bond
US55616XAC11,Macy's RetailHold 7.00 15/2/28,MRH-28,Macy's Retail Hold. 7 15/02/28,1000.0,USD,2018-02-15,US55616XAC11,104148,stock_bonds,2028-02-15,35.0,,corporate_bond
XS2401850834,BCS SP Plc Series 220,BCS05/22,BCS SP Plc Series 220,100000.0,SUR,2021-10-22,XS2401850834,2000,stock_bonds,2022-05-02,0.0,,corporate_bond
RU000A0JWJF9,Ситиматик АО БО-01,СитиматБ1,Sitymatik BO-01,1254.23,SUR,2016-06-01,RU000A0JWJF9,1850000,stock_bonds,2027-04-29,201.9,,exchange_bond
RU000A101RZ3,Республика Казахстан 11,Казахст11,Republic of Kazakhstan 11,1000.0,SUR,2020-09-23,RU000A101RZ3,10000000,stock_bonds,2030-09-11,34.9,,ofz_bond
RU000A1028C7,КИВИ Финанс 001P-01,КИВИФ 1Р01,QIWI Finance 001P-01,1000.0,SUR,2020-10-13,RU000A1028C7,5000000,stock_bonds,2023-10-10,20.94,,exchange_bond
RU000A0NH293,Банк ВТБ (ПАО) Б-1-123,ВТБ Б1-123,Bank VTB B-1-123,1000.0,SUR,2020-09-29,RU000A0NH293,628699,stock_bonds,2023-10-06,0.05,,exchange_bond
RU000A103HG0,АйДи Коллект 01,АйДиКоле01,ID Collect 01,1000.0,SUR,2021-08-10,RU000A103HG0,400000,stock_bonds,2024-07-25,9.86,,corporate_bond
RU000A100XP4,МЭФ Московской области 2019,МосОбл2019,Moscow Region MEF 2019,750.0,SUR,2019-10-15,RU000A100XP4,25000000,stock_bonds,2024-10-08,13.18,,subfederal_bond
RU000A1028K0,СберИОС 001Р-355R 5Y ТЕХ,СберИОС355,SberIOS 001P-355R 5Y TECH,1000.0,SUR,2020-10-29,RU000A1028K0,715550,stock_bonds,2025-11-06,0.5,,exchange_bond
RU000A0JS5M2,Вымпел-Коммуникации ПАО обл.02,ВымпелКом2,VimpelKom02,1000.0,SUR,2012-03-26,RU000A0JS5M2,3685,stock_bonds,2022-03-14,30.92,,corporate_bond
RU000A0NH1X5,Банк ВТБ (ПАО) Б-1-111,ВТБ Б1-111,Bank VTB B-1-111,1000.0,SUR,2020-09-15,RU000A0NH1X5,354465,stock_bonds,2022-09-13,0.05,,exchange_bond
RU000A102ED6,Банк ВТБ (ПАО) Б-1-166,ВТБ Б1-166,Bank VTB B-1-166,1000.0,SUR,2020-12-08,RU000A102ED6,154429,stock_bonds,2023-12-15,0.05,,exchange_bond
RU000A1037E4,СпецИнвестЛизинг 001P-03,СИЛ 1P03,SpecialInvestLeasing 001P-03,937.5,SUR,2021-06-07,RU000A1037E4,250000,stock_bonds,2025-05-17,7.71,,exchange_bond
RU000A103Q81,Банк ВТБ (ПАО) Б-1-230,ВТБ Б1-230,Bank VTB B-1-230,1000.0,SUR,2021-09-20,RU000A103Q81,4288549,stock_bonds,2022-09-19,17.2,,exchange_bond
SU29009RMFS6,ОФЗ-ПК 29009 05/05/32,ОФЗ 29009,OFZ-PD 29009,1000.0,SUR,2014-12-31,RU000A0JV4N8,390287001,stock_bonds,2032-05-05,37.8,,ofz_bond
RU000A1028J2,СберИОС 001Р-354R 5Г SBERLV85,СберИОС354,SberIOS 001P-354R 5Y SBERLV85,1000.0,SUR,2020-10-29,RU000A1028J2,1035633,stock_bonds,2025-11-05,0.5,,exchange_bond
DE000A19YDA9,CORESTATE Capital 15/04/23,CRS-23 EUR,CORESTATE Capital 15/04/23,100000.0,EUR,2018-03-29,DE000A19YDA9,3000,stock_bonds,2023-04-15,1750.0,,corporate_bond
XS2019822357,BCS SP Plc Series 2019-6,BCS GM2,BCS SP Plc Series 2019-6,1250.0,USD,2019-06-25,XS2019822357,8000,stock_bonds,2024-06-27,40.74,,corporate_bond
XS1903464391,BCS SP Plc Series 31,BCS 12/21,BCS SP Plc Series 31,100000.0,SUR,2018-11-23,XS1903464391,3000,stock_bonds,2021-12-01,,,corporate_bond
SU52001RMFS3,ОФЗ-ИН 52001 16/08/23,ОФЗ 52001,OFZ-IN 52001,1336.08,SUR,2015-07-17,RU000A0JVMH1,150000000,stock_bonds,2023-08-16,16.66,,ofz_bond
RU000A0JX8E6,ОР ООО обл.БО-07,ОРГруппБО7,OR BO-07,2000000.0,SUR,2017-01-26,RU000A0JX8E6,500,stock_bonds,2022-01-20,49863.01,,exchange_bond
RU000A101FH6,Мобильные ТелеСистемы 001P-14,МТС 1P-14,MTS 001P-14,1000.0,SUR,2020-02-20,RU000A101FH6,15000000,stock_bonds,2027-02-11,16.45,,exchange_bond
XS2143253651,BCS SP Plc Series 88,BCS06/25-3,BCS SP Plc Series 88,1250.0,USD,2020-03-23,XS2143253651,8000,stock_bonds,2025-06-30,43.87,,corporate_bond
RU000A0ZYFB8,Красноярский край  обл.14,КрасЯрКр14,Krasnoyarsk reg.- 35014,1000.0,SUR,2017-11-09,RU000A0ZYFB8,7800000,stock_bonds,2024-10-31,19.55,,subfederal_bond
RU000A0JXR84,"""Российские ЖД"" БО-001P-03R",РЖД Б01P3R,RZhD BO-001P-03R,1000.0,SUR,2017-05-18,RU000A0JXR84,15000000,stock_bonds,2037-04-23,41.88,,exchange_bond
RU000A0JS5L4,МЕТАЛЛОИНВЕСТ ХК АО обл. 06,МЕТАЛИНВ 6,METALLOINVEST HK AO 06,1000.0,SUR,2012-03-22,RU000A0JS5L4,10000000,stock_bonds,2022-03-10,0.05,,corporate_bond
RU000A0NH1W7,Банк ВТБ (ПАО) Б-1-110,ВТБ Б1-110,Bank VTB B-1-110,1000.0,SUR,2020-09-08,RU000A0NH1W7,387154,stock_bonds,2022-09-06,0.05,,exchange_bond
RU000A0NH285,Банк ВТБ (ПАО) Б-1-122,ВТБ Б1-122,Bank VTB B-1-122,1000.0,SUR,2020-09-15,RU000A0NH285,123125,stock_bonds,2023-09-22,0.05,,exchange_bond
RU000A0JXN05,"""Российские ЖД"" БО-001P-01R",РЖД Б01P1R,RZhD BO-001P-01R,1000.0,SUR,2017-04-07,RU000A0JXN05,15000000,stock_bonds,2032-05-18,43.38,,exchange_bond
RU000A102EC8,Банк ВТБ (ПАО) Б-1-165,ВТБ Б1-165,Bank VTB B-1-165,1000.0,SUR,2020-12-08,RU000A102EC8,129890,stock_bonds,2022-12-06,0.05,,exchange_bond
RU000A1002C2,РЖД ОАО БО 001Р-12R,РЖД 1Р-12R,RZD BO 001P-12R,1000.0,SUR,2019-02-01,RU000A1002C2,15000000,stock_bonds,2024-01-26,43.38,,exchange_bond
RU000A100TF3,РУСАЛ Братск БО-001P-03,РУСАБрБ1P3,RUSAL Bratsk BO-001P-03,1000.0,SUR,2019-09-12,RU000A100TF3,15000000,stock_bonds,2029-08-30,41.14,,exchange_bond
RU000A1024A0,СФО ВТБ Инвест. Продукты 02,СФОВТБИП02,SFO VTB Investment Products 02,1000.0,SUR,2020-09-15,RU000A1024A0,359800,stock_bonds,2023-11-13,0.31,,corporate_bond
RU000A102VD0,СберИОС 001Р-426R 7Г СШАМ ИНД,СберИОС426,SberIOS 001P-426R 7Y USAM IND,1000.0,SUR,2021-03-30,RU000A102VD0,834650,stock_bonds,2028-04-05,0.7,,exchange_bond
RU000A101NX7,Банк ВТБ (ПАО) Б-1-68,ВТБ Б-1-68,Bank VTB B-1-68,1000.0,SUR,2020-05-19,RU000A101NX7,283849,stock_bonds,2025-05-13,0.05,,exchange_bond
SU24021RMFS6,ОФЗ-ПК 24021 24/04/24,ОФЗ 24021,OFZ PD 24021,1000.0,SUR,2020-01-29,RU000A101CK7,300000000,stock_bonds,2024-04-24,,,ofz_bond
RU000A0ZYFC6,Мобильные ТелеСистемы 001P-03,МТС 001P-3,MTS 001P-03,1000.0,SUR,2017-11-09,RU000A0ZYFC6,15000000,stock_bonds,2022-11-03,38.39,,exchange_bond
RU000A100L63,Белуга Групп ПАО БО-П02,БелугаБП2,Beluga Group BO-P02,1000.0,SUR,2019-07-17,RU000A100L63,4904803,stock_bonds,2024-07-10,47.37,,exchange_bond
RU000A103YG5,ДОМ.РФ Ипотечный агент БО 1P11,ИАДОМ 1P11,DOM.RF Mortgage agent BO 1P11,1000.0,SUR,2021-10-28,RU000A103YG5,48293483,stock_bonds,2031-10-28,17.14,,exchange_bond
SU26219RMFS4,ОФЗ-ПД 26219 16/09/26,ОФЗ 26219,OFZ-PD 26219,1000.0,SUR,2016-06-29,RU000A0JWM07,350000000,stock_bonds,2026-09-16,38.64,,ofz_bond
RU000A0JXR50,ПАО Россети Моск.рег. БО-10,РСетиМРБ10,Rosseti Moscow Region BO-10,1000.0,SUR,2017-05-18,RU000A0JXR50,10000000,stock_bonds,2027-05-06,42.63,,exchange_bond
RU000A102MR9,ГСП-Финанс БО-01,ГСП-Ф БО01,GSP-Finance BO-01,1000.0,SUR,2020-12-30,RU000A102MR9,1000000,stock_bonds,2023-12-27,16.45,,exchange_bond
XS2401439927,BCS SP Plc Series 219,BCS02/27-3,BCS SP Plc Series 219,1250.0,USD,2021-10-22,XS2401439927,8000,stock_bonds,2027-02-24,0.0,,corporate_bond
XS2369925511,BCS SP Plc Series 200,BCS04/25,BCS SP Plc Series 200,1250.0,USD,2021-08-18,XS2369925511,8000,stock_bonds,2025-04-01,0.0,,corporate_bond
RU000A0JS603,МСП Банк АО 02,МСП Банк 2,MSP Bank 02,1000.0,SUR,2012-08-23,RU000A0JS603,5000000,stock_bonds,2022-08-11,31.16,,corporate_bond
XS2393505008,MMC Finance DAC 2.8 27/10/26,GMKN-26,MMC Finance DAC 2.8 27/10/26,1000.0,USD,2021-10-27,XS2393505008,500000,stock_bonds,2026-10-27,14.0,,corporate_bond
US45905U6L39,IBRD 3.125 20/11/25,IBRD-25,IBRD 3.125 20/11/25,1000.0,USD,2018-11-20,US45905U6L39,600000,stock_bonds,2025-11-20,15.63,,corporate_bond
RU000A101FG8,Ростелеком ПАО 002P-02R,Ростел2P2R,Rostelecom 002P-02R,1000.0,SUR,2020-02-19,RU000A101FG8,15000000,stock_bonds,2027-02-10,33.16,,exchange_bond
RU000A0NH277,Банк ВТБ (ПАО) Б-1-121,ВТБ Б1-121,Bank VTB B-1-121,1000.0,SUR,2020-09-08,RU000A0NH277,163217,stock_bonds,2023-09-15,0.05,,exchange_bond
RU000A103HE5,СберИОС 001Р-461R 7Г РБЧ-М,СберИОС461,SberIOS 001P-461R 7Y RBC-M,1000.0,SUR,2021-08-27,RU000A103HE5,294260,stock_bonds,2028-08-31,0.7,,exchange_bond
RU000A1028H6,Сибнефтехимтрейд БО-01,СНХТ БО-01,Sibneftehimtrade BO-01,1000.0,SUR,2020-10-14,RU000A1028H6,300000,stock_bonds,2024-03-27,11.1,,exchange_bond
RU000A103YF7,БКС Банк 001Р-01,БКСБ1Р-01,BCS Bank 001P-01,1000.0,SUR,2021-10-28,RU000A103YF7,500000,stock_bonds,2024-11-17,0.1,,exchange_bond
RU000A1015E0,Белуга Групп 002P БО-П03,БелугаБП3,Beluga Group 002P BO-P03,1000.0,SUR,2019-12-10,RU000A1015E0,4986973,stock_bonds,2024-12-03,41.14,,exchange_bond
RU000A101WH1,ГИДРОМАШСЕРВИС АО БО-02,ГИДРОМАШБ2,HYDROMASHSERVICE BO-02,1000.0,SUR,2020-07-14,RU000A101WH1,3000000,stock_bonds,2030-07-02,40.64,,exchange_bond
RU000A102A98,СберИОС 001Р-371R 3Г Top Five,СберИОС371,SberIOS 001P-371R 3Y Top Five,1000.0,SUR,2020-11-23,RU000A102A98,95554,stock_bonds,2023-12-01,0.3,,exchange_bond
RU000A103LM0,МВС ГРУП обК01,МВС ГРУП обК01,MVS GRUP obK01,1000.0,RUB,,RU000A103LM0,1000000000,stock_bonds,2026-07-31,20.16,,non_exchange_bond
RU000A0JTVJ2,"""Россельхозбанк"" (АО) обл.20",РСХБ 20,Rosselhozbank 20,1000.0,SUR,2013-04-23,RU000A0JTVJ2,10000000,stock_bonds,2023-04-11,41.39,,corporate_bond
RU000A100L55,Мобильные ТелеСистемы 001P-11,МТС 1P-11,MTS 001P-11,1000.0,SUR,2019-07-17,RU000A100L55,10000000,stock_bonds,2026-07-08,19.7,,exchange_bond
XS2069992258,MMC Finance DAC 28/10/24,GMKN-24,MMC Finance DAC 28/10/24,1000.0,USD,2019-10-28,XS2069992258,750000,stock_bonds,2024-10-28,16.88,,corporate_bond
RU000A100KT3,МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П03,МКБ П03,CREDIT BANK OF MOSCOW P03,1000.0,SUR,2019-07-15,RU000A100KT3,404,stock_bonds,2022-07-15,40.0,,exchange_bond
RU000A1037C8,Урожай БО-02,УрожайБО02,Urozhai BO-02,1000.0,SUR,2021-06-08,RU000A1037C8,150000,stock_bonds,2024-06-04,28.67,,exchange_bond
RU000A0ZZEA0,Солид-Лизинг ООО БО-001-01,СолЛизБО01,Solid-Leasing BO-001-01,1000.0,SUR,2018-07-24,RU000A0ZZEA0,200000,stock_bonds,2023-07-18,32.41,,exchange_bond
RU000A0ZZMQ9,Солид-Лизинг ООО БО-001-02,СолЛизБО02,Solid-Leasing BO-001-02,1000.0,SUR,2018-09-25,RU000A0ZZMQ9,180000,stock_bonds,2023-09-19,31.16,,exchange_bond
SU26228RMFS5,ОФЗ-ПД 26228 10/04/30,ОФЗ 26228,OFZ-PD 26228,1000.0,SUR,2019-04-24,RU000A100A82,450000000,stock_bonds,2030-04-10,38.15,,ofz_bond
RU000A0JS1F5,Промсвязьбанк ПАО обл.03,Промсвб3,Promsvyazbank PAO 03,1000.0,SUR,2011-12-22,RU000A0JS1F5,5000000,stock_bonds,2021-12-09,22.44,,corporate_bond
RU000A100L48,СберИОС 001Р-113R 42M CDX 115%,СберИОС113,SberIOS 001P-113R 42M CDX 115%,1000.0,SUR,2019-07-16,RU000A100L48,628101,stock_bonds,2023-01-23,47.6,,exchange_bond
RU000A100KS5,МОСКОВСКИЙ КРЕДИТНЫЙ БАНК П02,МКБ П02,CREDIT BANK OF MOSCOW P02,1000.0,SUR,2019-07-15,RU000A100KS5,425,stock_bonds,2022-07-15,45.0,,exchange_bond
RU000A0JXR68,ПАО НК Роснефть 001P-05,Роснфт1P5,Rosneft  001P-05,1000.0,SUR,2017-05-18,RU000A0JXR68,15000000,stock_bonds,2025-05-08,21.44,,exchange_bond
XS1911645049,GAZ CAPITAL SA 2.949 24/01/24,GAZ-24_2 E,GAZ CAPITAL SA 2.949 24/01/24,1000.0,EUR,2018-11-16,XS1911645049,1000000,stock_bonds,2024-01-24,29.49,,corporate_bond
RU000A103PT6,ПАО ОТКРЫТИЕ ФК Банк БО-П09,ОткрФКБП09,OTKRITIE FC Bank BO-P08,1000.0,SUR,2021-09-23,RU000A103PT6,15000000,stock_bonds,2024-09-19,39.99,,exchange_bond
RU000A103Q57,Группа Астон обКП05,Группа Астон обКП05,Gruppa Aston obKP05,1000.0,RUB,,RU000A103Q57,235000000,stock_bonds,2024-09-16,48.62,,non_exchange_bond
RU000A0NH269,Банк ВТБ (ПАО) Б-1-120,ВТБ Б1-120,Bank VTB B-1-120,1000.0,SUR,2020-09-01,RU000A0NH269,168720,stock_bonds,2023-09-08,0.05,,exchange_bond
XS2384475930,CBOM Finance P.L.C. 3.875 21/0,CBOM-26,CBOM Finance P.L.C. 3.875 21/0,1000.0,USD,2021-09-21,XS2384475930,500000,stock_bonds,2026-09-21,19.375,,corporate_bond
SU26212RMFS9,ОФЗ-ПД 26212 19/01/28,ОФЗ 26212,OFZ-PD 26212,1000.0,SUR,2013-01-23,RU000A0JTK38,358927588,stock_bonds,2028-01-19,35.15,,ofz_bond
RU000A101WG3,СберИОС 001Р-292R 5Г МГТРД ИНД,СберИОС292,SberIOS 001P-292R 5Y MGTRD IND,1000.0,SUR,2020-07-28,RU000A101WG3,3998192,stock_bonds,2025-08-04,0.5,,exchange_bond
RU000A1015D2,Концессии Теплоснабжения БО-01,КонцесТ Б1,Koncessii teplosnabjeniya B01,1000.0,SUR,2019-12-10,RU000A1015D2,2000000,stock_bonds,2033-11-04,77.29,,exchange_bond
RU000A102QY6,ТФН 01,ТФН 01,TFN 01,1000.0,SUR,2021-02-09,RU000A102QY6,1000000,stock_bonds,2024-02-06,29.92,,exchange_bond
RU000A100GK0,МигКредит БО-01МС,МигКр 01МС,MigCredit BO-01MC,234.1,SUR,2019-06-24,RU000A100GK0,446772,stock_bonds,2022-06-19,3.08,,exchange_bond
RU000A0ZYFE2,Альфа-Банк АО обл. БО-001Р-01,Альфа-Б1Р1,ALFA-BANK BO-001P-01,1000.0,EUR,2017-11-13,RU000A0ZYFE2,20000,stock_bonds,2022-11-07,0.05,,exchange_bond
RU000A103YE0,АЛЬФА-БАНК Б2Р15,АЛЬФАБ2Р15,ALFA-BANK 002P-15,1000.0,SUR,2021-10-28,RU000A103YE0,10000000,stock_bonds,2022-10-29,40.41,,exchange_bond
RU000A100TD8,Солид-Лизинг ООО БО-001-05,СолЛизБО05,Solid-Leasing BO-001-05,1000.0,SUR,2019-09-11,RU000A100TD8,230000,stock_bonds,2022-09-07,31.16,,exchange_bond
RU000A1028G8,Ростелеком ПАО 002P-05R,Ростел2P5R,Rostelecom 002P-05R,1000.0,SUR,2020-10-14,RU000A1028G8,10000000,stock_bonds,2025-10-08,31.41,,exchange_bond
US577778BL68,Macy's RetailHold 8.75 15/5/29,MRH-29,Macy's RetailHold 8.75 15/5/29,1000.0,USD,2000-05-22,US577778BL68,18151,stock_bonds,2029-05-15,43.75,,corporate_bond
RU000A100Y50,СУЭК-Финанс 001Р-04R,СУЭК-Ф1P4R,SUEK - Finance 001P-04R,1000.0,SUR,2019-10-21,RU000A100Y50,20000000,stock_bonds,2029-10-08,36.9,,exchange_bond
RU000A1019T0,СберИОС 001Р-192R 4.5Y O.G.90%,СберИОС192,SberIOS 001P-192R 4.5Y O.G.90%,1000.0,SUR,2020-01-14,RU000A1019T0,727095,stock_bonds,2024-07-16,47.5,,exchange_bond
RU000A102EH7,Банк ВТБ (ПАО) Б-1-153,ВТБ Б1-153,Bank VTB B-1-153,1000.0,SUR,2020-12-15,RU000A102EH7,67746,stock_bonds,2025-12-09,0.05,,exchange_bond
XS2252958751,VEON Holdings B.V. 25/11/27,VEON-27,VEON Holdings B.V. 25/11/27,1000.0,USD,2020-11-25,XS2252958751,750000,stock_bonds,2027-11-25,16.875,,corporate_bond
RU000A103YM3,Сбербанк ПАО 002Р-green01,Сбер Sb01G,Sber 002P-green01,1000.0,SUR,2021-11-12,RU000A103YM3,25000000,stock_bonds,2023-11-10,43.88,,exchange_bond
RU000A100TL1,Кузина БО-П01,Кузина1P01,Cousin BO-P01,7280.0,SUR,2019-09-16,RU000A100TL1,5490,stock_bonds,2023-08-26,89.75,,exchange_bond
RU000A100725,Брайт Финанс ООО БО-П01,БрайтФ БП1,Bright Finance BO-P01,1000.0,SUR,2019-03-28,RU000A100725,220000,stock_bonds,2029-03-15,29.29,,exchange_bond
RU000A101X01,ДОМ.РФ Ипотечный агент 16-002P,ИА ДОМ16P2,DOM.RF Mortgage agent 16-002P,651.59,SUR,2020-07-17,RU000A101X01,1035600,stock_bonds,2050-07-28,,,corporate_bond
SU26215RMFS2,ОФЗ-ПД 26215 16/08/23,ОФЗ 26215,OFZ-PD 26215,1000.0,SUR,2013-09-04,RU000A0JU4L3,260885454,stock_bonds,2023-08-16,34.9,,ofz_bond
RU000A0JRU20,Северо-Зап.концес.комп. сер.03,СЗКК 03,SZKC-03,851.0,SUR,2011-10-21,RU000A0JRU20,5000000,stock_bonds,2031-09-26,41.08,,corporate_bond
RU000A102RA4,СберИОС 001Р-414R 7Г БТЕХ ИНД,СберИОС414,SberIOS 001P-414R 7Y BTECH IND,1000.0,SUR,2021-02-26,RU000A102RA4,3000000,stock_bonds,2028-03-06,0.7,,exchange_bond
RU000A0JT965,ПАО НК Роснефть обл.05,Роснефть05,Rosneft 05,1000.0,SUR,2012-10-29,RU000A0JT965,10000000,stock_bonds,2022-10-17,39.39,,corporate_bond
RU000A100KZ0,СберИОС 001Р-112R 5Y ENTM 10.2,СберИОС112,SberIOS 001P-112R 5Y ENTM 10.2,1000.0,SUR,2019-07-30,RU000A100KZ0,1678937,stock_bonds,2024-08-05,0.5,,exchange_bond
RU000A1011C3,РУСАЛ Братск БО-001P-04,РУСАБрБ1P4,RUSAL Bratsk BO-001P-04,1000.0,SUR,2019-11-14,RU000A1011C3,15000000,stock_bonds,2029-11-01,18.57,,exchange_bond
RU000A101SF3,ПАО НК Роснефть 002P-10,Роснфт2P10,Rosneft 002P-10,1000.0,SUR,2020-06-10,RU000A101SF3,15000000,stock_bonds,2030-05-29,14.46,,exchange_bond
XS2185963803,BCS SP Plc Series 95,BCS10/25,BCS SP Plc Series 95,100000.0,SUR,2020-06-10,XS2185963803,6000,stock_bonds,2025-10-15,,,corporate_bond
RU000A0JX090,"""ФСК ЕЭС""(ПАО) БО-02",ФСК ЕЭС Б2,FSK EES BO-02,1000.0,SUR,2016-11-29,RU000A0JX090,10000000,stock_bonds,2051-10-17,21.07,,exchange_bond
RU000A0JUQC5, Ашинский метзавод ПАО БО-01,АшинМЗ БО1,Ashinckiy metzavod PAO BO-01,1000.0,SUR,2014-06-30,RU000A0JUQC5,1000000,stock_bonds,2024-06-17,32.41,,exchange_bond
RU000A0NNE02,Банк ВТБ (ПАО) Б-1-178,ВТБ Б1-178,Bank VTB B-1-178,1000.0,SUR,2021-02-16,RU000A0NNE02,256025,stock_bonds,2024-02-23,0.05,,exchange_bond
RU000A101JU1,ГлобалФактор.НетворкРус обПК04,ГлобалФактор.НетворкРус обПК04,GlobalFaktor.NetvorkRus obPK04,1000.0,RUB,,RU000A101JU1,30000000,stock_bonds,2025-03-19,31.16,,non_exchange_bond
XS0223715920,USD 6.25 VTB CAP.S.A.05-2035,VTB-35,USD 6.25 VTB CAP.S.A.05-2035,1000.0,USD,2005-06-30,XS0223715920,22513,stock_bonds,2035-06-30,31.25,,corporate_bond
XS2315951041,Eurasian Development Bank 1.0,EDB-26 EUR,Eurasian Development Bank 1.0,1000.0,EUR,2021-03-17,XS2315951041,300000,stock_bonds,2026-03-17,10.0,,corporate_bond
AMUNIBB2AER2,UNIBANK OJSC Series 1,UBANK11/22,UNIBANK OJSC Series 1,100.0,USD,2019-11-15,AMUNIBB2AER2,10000,stock_bonds,2022-11-15,1.3125,,corporate_bond
RU000A103DB0,Открытие Брокер СО-03,ОткрБРСО3,Otkritie Broker SO-03,1000.0,SUR,2021-07-26,RU000A103DB0,295000,stock_bonds,2024-07-22,36.82,,corporate_bond
RU000A1028N4,МСБ-Лизинг 002P-03,МСБЛиз2P03,MSBLeasing 002P-03,523.8,SUR,2020-10-15,RU000A1028N4,100000,stock_bonds,2022-10-05,5.38,,exchange_bond
RU000A103M36,ТрансФин-М ПАО 001P-07,ТрансФ1P07,TransFin-M 001P-07,1000.0,SUR,2021-08-30,RU000A103M36,6300000,stock_bonds,2031-08-18,24.43,,exchange_bond
RU000A0ZZ083,ИКС 5 ФИНАНС 001P-03,ИКС5Фин1P3,X5 FINANSE 001P-03,1000.0,SUR,2018-03-27,RU000A0ZZ083,10000000,stock_bonds,2033-03-08,0.05,,exchange_bond
XS2298598462,BCS SP Plc Series 143,BCS06/24-A,BCS SP Plc Series 143,1250.0,USD,2021-02-11,XS2298598462,8000,stock_bonds,2024-06-12,0.0,,corporate_bond
XS1843441731,ALROSA FIN SA 4.65 09/04/24,ALRS-24,ALROSA FIN SA 4.65 09/04/24,1000.0,USD,2019-04-09,XS1843441731,500000,stock_bonds,2024-04-09,23.25,,corporate_bond
RU000A102EG9,Офир обК04,Офир обК04,Ofir obK04,1000.0,RUB,,RU000A102EG9,100000000,stock_bonds,2022-11-24,49.86,,non_exchange_bond
XS1601094755,CBOM Finance PLC 8.875 UNDT,CBOM-perp,CBOM Finance P.L.C. perpetual,1000.0,USD,2017-05-10,XS1601094755,540000,stock_bonds,,22.1875,,corporate_bond
RU000A1011B5,Краснодарский край 35003 обл.,КраснодКр3,Krasnodar Territory 35003,1000.0,SUR,2019-11-14,RU000A1011B5,10000000,stock_bonds,2026-11-12,17.33,,subfederal_bond
XS1962541709,BCS SP Plc Series 38,BCS 06/24,BCS SP Plc Series 38,1250.0,USD,2019-03-13,XS1962541709,16000,stock_bonds,2024-06-30,53.270548,,corporate_bond
RU000A103PZ3,Система ГрузоВИГ обК03,Система ГрузоВИГ обК03,Sistema GruzoVIG obK03,1000.0,RUB,,RU000A103PZ3,180000000,stock_bonds,2024-09-01,12.33,,non_exchange_bond
